Date/time;018 (Library)-Mains.Active energy (105936.0 kWh),timestamp_no_value,timestamp_values,timestamp_only,TESAG_val,Date,timestamp_values,,timestamp
12/16/07 8:00:00 AM;130.2,12/16/07 8:00:00 A,1/2/17 4:45:00 AM;,4:45:00 AM;,7.2,2017-02-01,04:45:00,,2017-02-01T04:45:00+10:00
12/16/07 9:00:00 AM;129.7,12/16/07 9:00:00 A,1/2/17 5:00:00 AM;,5:00:00 AM;,8.1,2017-02-01,05:00:00,,2017-02-01T05:00:00+10:00
12/16/07 10:00:00 AM;139.4,12/16/07 10:00:00 ,1/2/17 5:15:00 AM;,5:15:00 AM;,7.7,2017-02-01,05:15:00,,2017-02-01T05:15:00+10:00
12/16/07 11:00:00 AM;248.9,12/16/07 11:00:00 ,1/2/17 5:30:00 AM;,5:30:00 AM;,7.1,2017-02-01,05:30:00,,2017-02-01T05:30:00+10:00
12/16/07 12:00:00 PM;260.5,12/16/07 12:00:00 ,1/2/17 5:45:00 AM;,5:45:00 AM;,7.2,2017-02-01,05:45:00,,2017-02-01T05:45:00+10:00
12/16/07 1:00:00 PM;216.9,12/16/07 1:00:00 P,1/2/17 6:00:00 AM;,6:00:00 AM;,7.7,2017-02-01,06:00:00,,2017-02-01T06:00:00+10:00
12/16/07 2:00:00 PM;258.7,12/16/07 2:00:00 P,1/2/17 6:15:00 AM;,6:15:00 AM;,7,2017-02-01,06:15:00,,2017-02-01T06:15:00+10:00
12/16/07 3:00:00 PM;264.9,12/16/07 3:00:00 P,1/2/17 6:30:00 AM;,6:30:00 AM;,6.8,2017-02-01,06:30:00,,2017-02-01T06:30:00+10:00
12/16/07 4:00:00 PM;260.4,12/16/07 4:00:00 P,1/2/17 6:45:00 AM;,6:45:00 AM;,7.4,2017-02-01,06:45:00,,2017-02-01T06:45:00+10:00
12/16/07 5:00:00 PM;146.9,12/16/07 5:00:00 P,1/2/17 7:00:00 AM;,7:00:00 AM;,8,2017-02-01,07:00:00,,2017-02-01T07:00:00+10:00
12/16/07 6:00:00 PM;134.8,12/16/07 6:00:00 P,1/2/17 7:15:00 AM;,7:15:00 AM;,7.8,2017-02-01,07:15:00,,2017-02-01T07:15:00+10:00
12/16/07 7:00:00 PM;137.6,12/16/07 7:00:00 P,1/2/17 7:30:00 AM;,7:30:00 AM;,6.7,2017-02-01,07:30:00,,2017-02-01T07:30:00+10:00
12/16/07 8:00:00 PM;136.2,12/16/07 8:00:00 P,1/2/17 7:45:00 AM;,7:45:00 AM;,7.4,2017-02-01,07:45:00,,2017-02-01T07:45:00+10:00
12/16/07 9:00:00 PM;131.5,12/16/07 9:00:00 P,1/2/17 8:00:00 AM;,8:00:00 AM;,8.1,2017-02-01,08:00:00,,2017-02-01T08:00:00+10:00
12/16/07 10:00:00 PM;142.7,12/16/07 10:00:00 ,1/2/17 8:15:00 AM;,8:15:00 AM;,8.9,2017-02-01,08:15:00,,2017-02-01T08:15:00+10:00
12/16/07 11:00:00 PM;130.4,12/16/07 11:00:00 ,1/2/17 8:30:00 AM;,8:30:00 AM;,8.4,2017-02-01,08:30:00,,2017-02-01T08:30:00+10:00
12/17/07 12:00:00 AM;134.7,12/17/07 12:00:00 ,1/2/17 8:45:00 AM;,8:45:00 AM;,0.1,2017-02-01,08:45:00,,2017-02-01T08:45:00+10:00
12/17/07 1:00:00 AM;143.5,12/17/07 1:00:00 A,1/2/17 9:00:00 AM;,9:00:00 AM;,0.2,2017-02-01,09:00:00,,2017-02-01T09:00:00+10:00
12/17/07 2:00:00 AM;133.5,12/17/07 2:00:00 A,1/2/17 9:15:00 AM;,9:15:00 AM;,0.5,2017-02-01,09:15:00,,2017-02-01T09:15:00+10:00
12/17/07 3:00:00 AM;141.8,12/17/07 3:00:00 A,1/2/17 9:30:00 AM;,9:30:00 AM;,0.2,2017-02-01,09:30:00,,2017-02-01T09:30:00+10:00
12/17/07 4:00:00 AM;132.3,12/17/07 4:00:00 A,1/2/17 9:45:00 AM;,9:45:00 AM;,9.5,2017-02-01,09:45:00,,2017-02-01T09:45:00+10:00
12/17/07 5:00:00 AM;130.8,12/17/07 5:00:00 A,1/2/17 10:00:00 AM,10:00:00 AM,9.2,2017-02-01,10:00:00,,2017-02-01T10:00:00+10:00
12/17/07 6:00:00 AM;318.8,12/17/07 6:00:00 A,1/2/17 10:15:00 AM,10:15:00 AM,0.2,2017-02-01,10:15:00,,2017-02-01T10:15:00+10:00
12/17/07 7:00:00 AM;349.8,12/17/07 7:00:00 A,1/2/17 10:30:00 AM,10:30:00 AM,0.4,2017-02-01,10:30:00,,2017-02-01T10:30:00+10:00
12/17/07 8:00:00 AM;358.3,12/17/07 8:00:00 A,1/2/17 10:45:00 AM,10:45:00 AM,0.2,2017-02-01,10:45:00,,2017-02-01T10:45:00+10:00
12/17/07 9:00:00 AM;382.9,12/17/07 9:00:00 A,1/2/17 11:00:00 AM,11:00:00 AM,0.4,2017-02-01,11:00:00,,2017-02-01T11:00:00+10:00
12/17/07 10:00:00 AM;469.3,12/17/07 10:00:00 ,1/2/17 11:15:00 AM,11:15:00 AM,0.9,2017-02-01,11:15:00,,2017-02-01T11:15:00+10:00
12/17/07 11:00:00 AM;469.4,12/17/07 11:00:00 ,1/2/17 11:30:00 AM,11:30:00 AM,0.1,2017-02-01,11:30:00,,2017-02-01T11:30:00+10:00
12/17/07 12:00:00 PM;467.1,12/17/07 12:00:00 ,1/2/17 11:45:00 AM,11:45:00 AM,9.8,2017-02-01,11:45:00,,2017-02-01T11:45:00+10:00
12/17/07 1:00:00 PM;435.9,12/17/07 1:00:00 P,1/2/17 12:00:00 PM,12:00:00 PM,9.7,2017-02-01,12:00:00,,2017-02-01T12:00:00+10:00
